[RECRUITMENT]
Date	09/12/23 10:25:38
Fichier	1702117538007.txt
Ventilateur	35120 
Système	3.0 
Version	3.0.1.61201 
Statut du contrôle avant utilisation	Succès
Dernière exécution du contrôle avant utilisation	09/12/23 08:04:21
Date format	dd/MM/yy
Language setting	fr_FR
Decimal separator	COMMA
==========
Heure de démarrage de la manœuvre de recrutement	10:20:31
Heure de fin de la manœuvre de recrutement	10:25:31
Plage horaire	5 Minutes

[DATA]
Durée	Cdyn (ml/cmH2O)	Fin PI (cmH2O)	PEP (cmH2O)	Vce (ml)	Vci (ml)	Pmotrice (cmH2O)	I:E ()	FR (resp/min)	IS ()
10:20:33	36,2	24	14	350	350	10	1 : 2,2	18	1,01	
10:20:37	36,2	24	14	344	348	10	1 : 2,2	18	1,00	
10:20:40	35,9	24	14	345	348	10	1 : 2,2	18	1,00	
10:20:43	35,7	24	14	344	348	10	1 : 2,2	18	1,00	
10:20:47	39,9	24	12	456	349	12	1 : 2,2	18	#	
10:20:50	41,4	21	12	362	349	9	1 : 2,2	18	#	
10:20:53	40,5	21	12	351	349	9	1 : 2,2	18	#	
10:20:57	41,1	21	12	352	350	9	1 : 2,2	18	#	
10:21:00	40,9	21	12	350	351	9	1 : 2,2	18	#	
10:21:03	40,5	21	12	348	351	9	1 : 2,1	18	#	
10:21:07	40,4	21	12	350	350	9	1 : 2,2	18	#	
10:21:10	41,0	21	12	352	350	9	1 : 2,2	18	#	
10:21:13	40,9	21	12	349	350	9	1 : 2,1	18	0,97	
10:21:17	40,4	21	12	348	349	9	1 : 2,2	18	0,97	
10:21:20	40,1	21	12	349	350	9	1 : 2,2	18	0,97	
10:21:23	40,1	21	12	350	350	9	1 : 2,2	18	0,97	
10:21:27	40,9	21	12	352	348	9	1 : 2,2	18	0,97	
10:21:30	40,7	21	12	348	349	9	1 : 2,2	18	0,98	
10:21:33	39,6	21	12	343	349	9	1 : 2,2	18	0,98	
10:21:37	40,8	21	12	344	352	8	1 : 2,2	18	0,98	
10:21:40	42,8	20	12	347	351	8	1 : 2,2	18	0,99	
10:21:43	44,2	20	12	345	351	8	1 : 2,2	18	0,99	
10:21:47	41,9	20	12	334	351	8	1 : 2,2	18	0,98	
10:21:50	42,1	20	12	334	349	8	1 : 2,2	18	0,94	
10:21:53	41,7	20	12	344	349	8	1 : 2,2	18	0,91	
10:21:57	42,7	20	12	353	349	8	1 : 2,2	18	0,91	
10:22:00	43,2	20	12	353	350	8	1 : 2,2	18	0,92	
10:22:03	40,3	20	12	339	350	8	1 : 2,2	18	0,91	
10:22:07	41,2	20	12	350	348	8	1 : 2,2	18	0,90	
10:22:10	48,6	19	11	400	352	9	1 : 2,2	18	0,90	
10:22:13	42,5	19	12	310	352	7	1 : 2,2	18	#	
10:22:17	46,7	20	10	473	346	10	1 : 2,2	18	#	
10:22:20	53,2	17	10	380	349	7	1 : 2,2	18	#	
10:22:23	51,5	17	10	350	349	7	1 : 2,2	18	#	
10:22:27	47,6	17	10	336	350	7	1 : 2,2	18	#	
10:22:30	47,5	18	10	347	348	8	1 : 2,2	18	#	
10:22:33	49,0	17	10	352	349	7	1 : 2,2	18	#	
10:22:37	47,8	17	10	346	348	7	1 : 2,2	18	#	
10:22:40	48,3	17	10	350	349	7	1 : 2,2	18	0,96	
10:22:43	47,4	18	10	349	349	7	1 : 2,2	18	0,95	
10:22:47	47,9	17	10	352	349	7	1 : 2,2	18	0,95	
10:22:50	47,6	18	10	348	347	8	1 : 2,2	18	0,93	
10:22:53	47,5	18	10	350	350	8	1 : 2,2	18	0,93	
