[RECRUITMENT]
Date	17/05/23 08:33:03
Fichier	1684312383672.txt
Ventilateur	36373 
Système	3.0 
Version	3.0.1.61201 
Statut du contrôle avant utilisation	Succès
Dernière exécution du contrôle avant utilisation	13/05/23 15:43:55
Date format	dd/MM/yy
Language setting	fr_FR
Decimal separator	COMMA
==========
Heure de démarrage de la manœuvre de recrutement	08:06:03
Heure de fin de la manœuvre de recrutement	08:36:03
Plage horaire	30 Minutes

[DATA]
Durée	Cdyn (ml/cmH2O)	Fin PI (cmH2O)	PEP (cmH2O)	Vce (ml)	Vci (ml)	Pmotrice (cmH2O)	I:E ()	FR (resp/min)	IS ()
08:06:03	24,7	27	12	384	381	15	1 : 1,5	26	1,13	
08:06:06	24,9	27	12	385	381	15	1 : 1,5	26	1,13	
08:06:08	25,1	27	12	387	381	15	1 : 1,6	26	1,13	
08:06:10	27,0	31	12	381	381	***	1 : 2,8	26	1,09	
08:06:12	26,9	31	12	379	386	***	1 : 2,8	26	1,09	
08:06:15	26,7	31	12	380	390	***	1 : 2,9	26	1,06	
08:06:17	27,0	31	12	376	386	***	1 : 2,8	26	1,06	
08:06:19	26,5	31	12	375	387	***	1 : 2,9	26	1,05	
08:06:21	26,9	31	12	380	384	***	1 : 2,9	26	1,05	
08:06:24	26,2	31	12	380	388	***	1 : 2,9	26	1,04	
08:06:26	26,4	31	12	378	386	***	1 : 2,8	26	1,06	
08:06:28	25,9	31	12	378	388	***	1 : 2,9	26	1,06	
08:06:31	25,7	31	12	378	389	***	1 : 2,9	26	1,08	
08:06:33	25,4	31	12	375	386	***	1 : 2,9	26	1,08	
08:06:35	25,5	32	12	374	385	***	1 : 2,9	26	1,11	
08:06:38	25,9	32	12	380	390	***	1 : 2,8	26	1,11	
08:06:40	26,6	31	12	385	391	***	1 : 2,8	26	1,09	
08:06:42	26,6	31	12	377	387	***	1 : 2,8	26	1,09	
08:06:45	27,1	31	12	381	390	***	1 : 2,8	26	1,08	
08:06:47	26,7	31	12	379	386	***	1 : 2,8	26	1,08	
08:06:49	26,7	30	12	379	388	***	1 : 2,9	26	1,09	
08:06:52	26,1	31	12	379	386	***	1 : 2,8	26	1,09	
08:06:54	26,3	31	12	379	388	***	1 : 2,8	26	1,09	
08:06:56	26,0	32	12	382	391	***	1 : 2,8	26	1,07	
08:06:58	25,7	32	12	377	388	***	1 : 2,8	26	1,07	
08:07:01	25,5	32	12	380	390	***	1 : 2,9	26	1,11	
08:07:03	25,5	32	12	377	389	***	1 : 2,9	26	1,11	
08:07:05	25,8	31	12	379	388	***	1 : 2,9	26	1,10	
08:07:08	26,8	31	12	380	388	***	1 : 2,9	26	1,10	
08:07:10	26,5	30	12	379	389	***	1 : 2,9	26	1,09	
08:07:12	26,9	30	12	380	389	***	1 : 2,9	26	1,07	
08:07:15	27,1	30	12	377	387	***	1 : 2,9	26	1,07	
08:07:17	26,5	31	12	380	386	***	1 : 2,9	26	1,07	
